first,firstbreed,breedage,firstreturn,returnage
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,11,3
8,NA,NA,NA,NA
8,15,7,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,13,5,11,3
8,NA,NA,NA,NA
8,15,7,10,2
8,13,5,12,4
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,11,3
8,NA,NA,NA,NA
8,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,13,4
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,17,8,13,4
9,16,7,12,3
9,NA,NA,12,3
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,14,5
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,19,10,12,3
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,15,6
9,NA,NA,NA,NA
9,16,7,12,3
9,NA,NA,NA,NA
9,NA,NA,11,2
9,NA,NA,NA,NA
9,15,6,12,3
9,15,6,13,4
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,14,5
9,16,7,13,4
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,12,3
9,NA,NA,NA,NA
9,NA,NA,NA,NA
9,NA,NA,NA,NA
